id,学校名,エリア,都県,共学別学,住所,最寄り駅,徒歩分,SAPIX偏差値_min,SAPIX偏差値_max,四谷大塚偏差値_min,四谷大塚偏差値_max,校風,探究レベル,AI教育,ICT環境,未来志向,情熱適性,自走力適性,表現力適性,協働力適性,通学エリア,特徴
s001,渋谷教育学園渋谷中学校,渋谷区,東京,共学,東京都渋谷区渋谷1-21-18,渋谷駅,7,59,64,67,68,自由,5,4,5,5,5,5,5,4,"渋谷,新宿,目黒,世田谷","探究,国際,自主性,ICT"
s002,広尾学園中学校,港区,東京,共学,東京都港区南麻布5-1-14,広尾駅,1,57,61,64,67,バランス,5,5,5,5,4,4,4,5,"港区,渋谷,品川,目黒","ICT,サイエンス,国際,医進"
s003,三田国際学園中学校,世田谷区,東京,共学,東京都世田谷区用賀2-16-1,用賀駅,5,46,55,57,60,自由,5,4,5,5,5,4,5,5,"世田谷,渋谷,目黒,大田","探究,国際,PBL,STEAM"
s004,開成中学校,荒川区,東京,男子校,東京都荒川区西日暮里4-2-4,西日暮里駅,1,68,68,72,72,自由,4,3,3,4,5,5,4,3,"荒川,文京,台東,北区","進学実績,自主性,伝統,運動会"
s005,桜蔭中学校,文京区,東京,女子校,東京都文京区本郷1-5-25,水道橋駅,5,63,63,69,69,規律,3,3,3,4,4,5,3,3,"文京,千代田,台東,豊島","進学実績,礼法,伝統,理系"
s006,武蔵中学校,練馬区,東京,男子校,東京都練馬区豊玉上1-26-1,江古田駅,6,58,58,65,65,自由,5,3,3,4,5,5,5,3,"練馬,豊島,板橋,新宿","探究,自主性,少人数,本物体験"
s007,慶應義塾中等部,港区,東京,共学,東京都港区三田2-17-10,田町駅,15,60,60,65,65,バランス,4,3,4,4,4,4,4,5,"港区,渋谷,品川,目黒","大学附属,教養,人間力,多様性"
s008,麻布中学校,港区,東京,男子校,東京都港区元麻布2-3-29,広尾駅,10,60,60,65,65,自由,5,3,3,4,5,5,5,4,"港区,渋谷,品川,目黒","自由,教養,議論,個性"
s009,女子学院中学校,千代田区,東京,女子校,東京都千代田区一番町22-10,半蔵門駅,2,57,57,65,65,自由,4,3,3,4,4,5,4,4,"千代田,文京,港区,中央","自由,キリスト教,自主性,教養"
s010,栄光学園中学校,鎌倉市,神奈川,男子校,神奈川県鎌倉市玉縄4-1-1,大船駅,15,59,59,66,66,バランス,4,3,3,4,4,4,4,4,"鎌倉,横浜,藤沢,逗子","カトリック,自然,教養,少人数"
